,サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
2306,ごんぎつねの湯,4,7,対象：男女,92,17,92,16,ng,ng,ng,ok,ok,ok,ng,ng,ng,ok,ok,ok
2307,湯の花亭,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2308,ニューサンピア姫路ゆめさき,0,1,対象：男女,?,?,70,-,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
2309,嵯峨沢館,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2310,奥の湯,1,2,対象：男女,100,19,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2311,君田温泉森の泉,2,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2312,美又温泉国民保養センター,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2313,三田温泉・熊野の郷,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2314,ホテルハーヴェスト 天城高原,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2315,桜湯,0,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2316,大芦高原温泉 雲海,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2317,かんぽの宿伊豆高原,0,0,対象：男女,90,-,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
2318,有馬湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2319,コナミスポーツクラブ三田,0,0,対象：男女,-,17,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,ng
2320,鈴鹿さつき温泉,1,2,対象：男女,86,22,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
2321,常滑温泉 マーゴの湯,16,180,対象：男女,86,18,82,16,ok,ng,ng,ok,ok,ok,ok,ng,ng,ok,ok,ok
2322,リブマックスリゾート天城湯ヶ島,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
2323,吉川温泉よかたん,1,2,対象：男女,-,17,90,18,ng,ng,ng,ng,ng,ng,ng,ng,ng,ok,ok,ng
2324,ホテルアンビア松風閣,0,0,男性専用,94,18,?,?,ng,ng,ng,ok,ng,-,-,-,-,-,-,-
2325,焼津グランドホテル,3,2,対象：男女,90,20,90,16,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
2326,天然温泉 石道,1,1,対象：男女,85,21,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
2327,ひらの湯,2,1,対象：男女,88,21,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
2328,立ち寄り温泉 伊豆高原の湯,2,6,対象：男女,89,-,89,-,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ng,ng
2329,ゆーゆーらんど 神明湯,0,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
