,サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
4469,白樺温泉,2,1,対象：男女,88,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4472,共栄湯,8,18,対象：男女,85,15.5,65,-,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng,ng
4473,守山湯元水春 ピエリ守山,7,20,対象：男女,85,15.5,90,16,ng,ok,ng,ok,ok,ng,ng,ok,ng,ok,ng,ng
4475,菊水湯,2,2,対象：男女,80,13,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4477,お風呂とごはん ふなの湯,2,1,対象：男女,92,15,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4479,豪華カプセルホテル安心お宿 京都四条烏丸店,1,9,対象：男女,46,30,49,30,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
4480,ザ・サウザンド キョウト,0,3,男性専用,92,19.5,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4481,東急ハーヴェストクラブ蓼科 本館,0,0,対象：男女,106,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4491,高山桜庵,0,1,対象：男女,88,18,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
4493,菊池温泉薬師湯,0,1,対象：男女,94,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4494,みずほ温泉,1,1,対象：男女,65,22,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
4495,ホリデイスポーツクラブ 武庫之荘,0,15,対象：男女,92,18,?,?,ng,ng,ng,ng,ok,ng,-,-,-,-,-,-
4503,熱海 森の温泉ホテル,0,2,対象：男女,84,20,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
4505,大正湯,1,1,対象：男女,90,18,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
