サウナ名,イキタイ,サ活,target,男サウナ,男水風呂,女サウナ,女水風呂,男ロウリュ,男オート,男セルフ,男外気浴,男休憩,男イオン,女ロウリュ,女オート,女セルフ,女外気浴,女休憩,女イオン
竹乃湯温泉,0,2,対象：男女,?,?,90,20,-,-,-,-,-,ng,ng,ng,ok,ok,ng,-
月光園 鴻朧館,0,1,対象：男女,85,-,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
伊豆稲取スポーツヴィラ,0,4,対象：男女,76,-,76,-,ng,ng,ng,ng,ok,-,ng,ng,ng,ng,ok,-
コナミスポーツクラブ香里ケ丘,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
天然温泉湯庵,2,11,対象：男女,96,19,90,18,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
堂ヶ島ニュー銀水,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
鹿之子温泉からとの湯,0,11,対象：男女,92,20,90,19,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
幸福温泉,1,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ヘルシーバス千里丘,0,1,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
橘温泉,0,3,対象：男女,92,-,-,-,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
KONAMI 香里園,0,0,対象：-,90,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
力湯,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
島ヶ原温泉やぶっちゃ,0,1,対象：男女,82,19,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
ホテルリステル浜名湖,1,0,対象：男女,95,-,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
「ふらっと」ふれあいセンター,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
ドーミーインEXPRESS掛川,2,2,対象：男女,92,16,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
みのたにグリーンスポーツホテル 銀河の湯,1,2,対象：男女,-,-,?,?,ng,ng,ng,ok,ok,-,-,-,-,-,-,-
千成温泉,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
コナミスポーツクラブ,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
浜の湯,0,0,対象：男女,92,20,102,20,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok,ng,ng
コナミスポーツクラブ江坂,1,0,対象：男女,-,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
ホテル東海園,1,1,対象：男女,106,21,?,?,ng,ng,ng,ok,ng,ng,-,-,-,-,-,-
稲取銀水荘,0,0,対象：男女,-,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
極楽湯 津店,2,96,対象：男女,90,17,88,15.4,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
東伊豆 稲取温泉 いなとり荘,0,0,対象：男女,108,-,?,?,ng,ng,ng,ok,ok,ng,-,-,-,-,-,-
稲取東海ホテル湯苑,3,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
石花海,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
コナミスポーツクラブ寝屋川,0,0,対象：-,?,?,?,?,-,-,-,-,-,-,-,-,-,-,-,-
遊湯の里,7,50,対象：男女,90,16,95,17,ng,ng,ng,ok,ok,ng,ng,ng,ng,ok,ok,ng
千代の湯,1,1,対象：男女,93,19,?,?,ok,ng,ng,ng,ng,ng,-,-,-,-,-,-
福助温泉,3,3,対象：男女,92,15,-,17,ng,ng,ng,ng,ng,ok,ng,ng,ng,ng,ng,ok
時わすれ開華亭,0,0,対象：男女,-,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
星野リゾート 界 遠州,1,1,対象：男女,70,-,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
木津川市共同浴場やすらぎの湯,0,1,対象：男女,112,17,?,?,ng,ng,ng,ng,ng,ng,-,-,-,-,-,-
